prompt_id,category,score_normal,score_masked,delta,layer,head,head_label
rep_001,repetition,0.00011443511979806189,0.0001656877885213476,5.125266872328572e-05,17,22,L17H22
rep_002,repetition,0.00017921129616639588,0.0002661966790350323,8.698538286863643e-05,17,22,L17H22
rep_003,repetition,0.0002414524196327849,0.00034145747125288804,0.00010000505162010315,17,22,L17H22
rep_004,repetition,0.00038722915916557097,0.000525995606062001,0.00013876644689642998,17,22,L17H22
rep_005,repetition,0.0010431409900963642,0.0014256770531219762,0.000382536063025612,17,22,L17H22
rep_006,repetition,0.0005657280214579528,0.0007552203178210622,0.0001894922963631095,17,22,L17H22
rep_007,repetition,0.016113907830580622,0.019634288752165614,0.0035203809215849924,17,22,L17H22
rep_008,repetition,0.00042740074810211675,0.0005234975928657363,9.609684476361951e-05,17,22,L17H22
rep_009,repetition,0.000865728695610745,0.0011928158109007693,0.0003270871152900244,17,22,L17H22
rep_010,repetition,4.590295113387429e-05,5.900033370526451e-05,1.3097382571390217e-05,17,22,L17H22
rep_001,repetition,0.0034656517630900253,0.004252863120053241,0.0007872113569632154,31,1,L31H1
rep_002,repetition,0.007086956751375204,0.008416373890463204,0.001329417139088,31,1,L31H1
rep_003,repetition,0.006395166288965207,0.008708137191515773,0.0023129709025505665,31,1,L31H1
rep_004,repetition,0.009218267003638354,0.010154027425272842,0.0009357604216344885,31,1,L31H1
rep_005,repetition,0.016473392995767822,0.0183975741033313,0.0019241811075634795,31,1,L31H1
rep_006,repetition,0.007493069679576725,0.010525946734880899,0.0030328770553041734,31,1,L31H1
rep_007,repetition,0.012404454247162315,0.013782241976759462,0.0013777877295971467,31,1,L31H1
rep_008,repetition,0.005367124160910332,0.006033799872507088,0.0006666757115967557,31,1,L31H1
rep_009,repetition,0.015533759393862812,0.020052355382861677,0.004518595988998866,31,1,L31H1
rep_010,repetition,0.0026699932977159954,0.002982938942401488,0.0003129456446854927,31,1,L31H1
